,method,label,path,id,AS,validity_AS,preservation_AS,Stefano,validity_Stefano,preservation_Stefano,Thao,validity_Thao,preservation_Thao,Davide,validity_Davide,preservation_Davide,Amr,validity_Amr,preservation_Amr,xiang,validity_xiang,preservation_xiang,Shangsu,validity_Shangsu,preservation_Shangsu,xin,validity_xin,preservation_xin,Linfeng,validity_Linfeng,preservation_Linfeng,yuting,validity_yuting,preservation_yuting,He,validity_He,preservation_He,short_path,mutation_number
0,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_144.npy,0,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,10,True,False,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,,False,False,0.0,True,True,_C_C_sm/digit_0_id_144,127.0
1,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_113.npy,1,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0,True,True,0.0,True,True,0.0,True,True,9.0,True,False,9.0,True,False,0.0,True,True,0.0,True,True,_C_C_sm/digit_0_id_113,60.0
2,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_53.npy,2,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,_C_C_sm/digit_0_id_53,48.0
3,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_155.npy,3,0.0,True,True,0.0,True,True,0.0,True,True,5.0,True,False,10,True,False,0.0,True,True,6.0,True,False,0.0,True,True,8.0,True,False,,False,False,0.0,True,True,_C_C_sm/digit_0_id_155,123.0
4,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_71.npy,4,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0,True,True,0.0,True,True,6.0,True,False,0.0,True,True,6.0,True,False,,False,False,0.0,True,True,_C_C_sm/digit_0_id_71,135.0
5,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_196.npy,5,0.0,True,True,0.0,True,True,3.0,True,False,0.0,True,True,0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,_C_C_sm/digit_0_id_196,89.0
6,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_111.npy,6,0.0,True,True,0.0,True,True,6.0,True,False,0.0,True,True,10,True,False,0.0,True,True,0.0,True,True,0.0,True,True,6.0,True,False,0.0,True,True,0.0,True,True,_C_C_sm/digit_0_id_111,134.0
7,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_16.npy,7,0.0,True,True,0.0,True,True,,False,False,4.0,True,False,0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,,False,False,0.0,True,True,0.0,True,True,_C_C_sm/digit_0_id_16,40.0
8,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_88.npy,8,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,_C_C_sm/digit_0_id_88,162.0
9,XAI,0,digit_of_sm_rr/_C_C_sm/digit_0_id_91.npy,9,0.0,True,True,0.0,True,True,0.0,True,True,,False,False,10,True,False,6.0,True,False,,False,False,8.0,True,False,0.0,True,True,,False,False,0.0,True,True,_C_C_sm/digit_0_id_91,152.0
